1.16,0.125,35,0.017345,0.84723,0.97306,0.99485,0.94083,8.9484,0.99526,0.58222,0.31661,0.89293,0.80883,0.90689,0.66096,0.5,1.2925,1,-0,-0,0,0,0.053333,0.13333,0.15111,0.22222,0.28444,0.32,0.39111,0.48,0.53333,0.69333,0.82667,0,0,0.13333,0.13333,0.2,0.26667,0.33333,0.4,0.4,0.53333,0.6,0.86667,0.93333,1
0.83,0.42105,91,0.03092,0.86705,0.9334,0.98797,2.2138,13.052,0.9828,0.35959,0.12294,1.119,0.58103,0.87447,0.93723,1.085,1.585,1,-0,-0,0,0.022039,0.11387,0.16896,0.29568,0.36915,0.48485,0.62626,0.72176,0.78237,0.84481,0.90358,0.94766,0,0.060606,0.18182,0.27273,0.42424,0.54545,0.75758,0.93939,0.9697,0.9697,0.9697,0.9697,0.9697,1
0.92,0.1,150,0.025641,0.87722,0.89849,0.98869,3.0444,12.902,0.99358,0.28181,0.075807,1.2486,0.63986,0.66297,0.72029,1,1.4037,0.79248,0.5,1,0,0.054017,0.10942,0.18975,0.25623,0.32687,0.41551,0.49446,0.60111,0.73823,0.87535,0.92659,0.95983,0,0.078947,0.15789,0.26316,0.31579,0.39474,0.5,0.60526,0.78947,0.94737,0.97368,0.97368,0.97368,1
0.72,0.30662,860,0.18477,0.93352,0.46593,0.93115,28.94,42.912,0.99811,0.11371,0.012877,1.6378,0.42729,0.76818,0.88409,0.95627,1.0963,1.0437,1.4037,2,0.011279,0.073563,0.13972,0.21412,0.2828,0.35805,0.43313,0.52605,0.64843,0.76677,0.88814,0.93881,0.97029,0.027523,0.14679,0.25688,0.3578,0.44037,0.51376,0.57798,0.69725,0.95413,0.99083,0.99083,0.99083,0.99083,1
0.49,0.12716,736,0.17722,0.91388,0.50712,0.93473,23.283,38.315,0.99046,0.122,0.014676,1.6162,0.29443,0.68001,0.83229,1.1456,1.2773,1.124,1.5,2,0.0069366,0.055943,0.13117,0.21296,0.28251,0.35935,0.45349,0.55385,0.6824,0.80996,0.90311,0.96329,0.9877,0.020134,0.10067,0.22148,0.30201,0.42953,0.52349,0.63087,0.83893,0.94631,0.99329,0.99329,0.99329,0.99329,1
1.11,0.2,40,0.027903,0.84006,0.96861,0.99431,1.2707,11.171,0.98998,0.50914,0.26203,0.92059,0.83812,0.71049,0.68129,0.72972,1.4037,1,-0,-0,0,0,0.067901,0.11728,0.21605,0.25309,0.3642,0.40123,0.48148,0.58642,0.7284,0.90123,0.91975,0,0,0.11111,0.16667,0.27778,0.27778,0.38889,0.5,0.5,0.66667,0.94444,0.94444,0.94444,0
1.13,0.22222,39,0.029412,0.85448,0.96859,0.99306,1.3014,11.555,0.9893,0.52121,0.26407,0.92059,0.83812,0.54057,0.70752,0.72972,1.2925,1,-0,-0,0,0,0.046875,0.125,0.21094,0.25781,0.3125,0.39063,0.49219,0.58594,0.71094,0.84375,0.90625,0,0,0.125,0.125,0.25,0.3125,0.4375,0.5,0.5625,0.6875,0.9375,0.9375,0.9375,0
0.11,0.13232,479,0.19759,0.83695,0.64485,0.93857,13.338,29.624,0.98956,0.15485,0.02302,1.5429,0.3724,0.71502,0.92899,1.364,1.3888,1,1.4037,2,0.006738,0.074184,0.1845,0.3262,0.46816,0.59076,0.69943,0.79647,0.87191,0.93004,0.96142,0.98144,0.99088,0.017241,0.12069,0.28161,0.49425,0.67241,0.82759,0.97126,0.99425,0.99425,0.99425,0.99425,0.99425,0.99425,0
0.9,0.086207,500,0.14253,0.93998,0.65958,0.96743,18.192,38.856,0.99706,0.14766,0.021695,1.5069,0.4624,0.67423,0.79248,0.92707,0.82193,0.85022,1.5,2,0,0.056178,0.128,0.19342,0.25031,0.31076,0.37653,0.45262,0.53476,0.63396,0.7808,0.90951,0.96249,0,0.10667,0.21333,0.30667,0.36,0.41333,0.48,0.56,0.65333,0.74667,0.97333,0.98667,0.98667,0
0.58,0.31579,624,0.17496,0.92524,0.55038,0.94071,22.303,39.451,0.99253,0.12839,0.016337,1.5869,0.36541,0.74474,0.85313,1.061,1.124,1.0437,1.5,2,0,0.059443,0.13059,0.20304,0.29032,0.39126,0.50325,0.61017,0.6968,0.78148,0.87019,0.93848,0.97672,0,0.1129,0.23387,0.35484,0.43548,0.54839,0.78226,0.94355,0.99194,0.99194,0.99194,0.99194,0.99194,0
