1
7
10*
14*
15 (interclass similarity)
16
20 (interclass similarity)
21* (interclass similirity)
25 (scaring)
26*
29*
31*
34
35*
38* (false negative)
40
49* (false negative) 
58
62* (ask if we need to include the tail (vessel))
68*
69*
74
76

77* (false negative)
